Title,Supervisor,Aim,URLs,Pre- and Co-Req,Background
Virtualised cooperative energy market (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, Manos Varvarigos","The goal of this study is to design advanced cooperative market models with a focus on scheduling policies (optimal sell/buy/store decisions) for cooperation of multiple microgrids in larger coalitions. Also, part of the study will be to investigate and identify the role of various generation (PV, wind, genset, etc.) and storage (battery, hydro, hydrogen, etc.) systems in virtual markets.",,Mathematical programming; Linear and nonlinear optimisation,"The goal of this study is to design advanced cooperative market models with a focus on scheduling policies (optimal sell/buy/store decisions) for cooperation of multiple microgrids in larger coalitions. Also, part of the study will be to investigate and identify the role of various generation (PV, wind, genset, etc.) and storage (battery, hydro, hydrogen, etc.) systems in virtual markets."
Woodside - Equipment Allocation in a Chemical Process Plant (24 pts),"Supervisors: Prof Maria Garcia de la Banda (FIT), Dr Gleb Belov (FIT), Dr Ilankaikone Senthooran (FIT).","The task is to investigate algorithmic variants of robust accelerated solving, starting with the ideas of [3]. In particular, the project will explore approaches to object aggregation and disaggregation, local search, and feedback between equipment allocation and pipe/path routing. This will require the application of various optimization methods, from heuristics to mathematical programming. The software implementation involves the extension and collaborative modification of existing C++ code.",,"good programming in C++, including classes and STL. Experience in mathematical optimization is helpful.","[3] G. Xu and L. G. Papageorgiou. Process plant layout using an improvement-type algorithm. Chemical Engineering Research and Design, 87(6):780–788, 2009"
,,,https://en.wikipedia.org/wiki/Image_segmentation,,
Plate Image Analysis to Promote Healthy Eating (24 pts),"Supervisors: David Squire, David Cordover (external partner)",The ultimate aim of this project is to build an app that allows users to track and gamify their food consumption and encourages positive behaviour change. The basic idea is to support the following functionality:,,It would be an advantage if the student has previously studied units in image/video processing. Knowledge of machine learning/AI could also be useful.,"The initial research questions addressed in this project are related to step 2. This app will first require a means of recognising the ""plate"" in the image taken by the phone. Then image segmentation of the plate into regions of sufficiently uniform colour and texture will be required. Multiple questions will need to be answered: How small can the regions be? How uniform? Are there existing image segmentation techniques that can be applied or adapted to solve this problem."
,,,http://scholar.google.com.au/scholar?q=computer+cryptic+crosswords,,
,,,http://comjnl.oxfordjournals.org/content/22/1/67.abstract,,
"An extensible framework for automated solving of cryptic crosswords using machine learning, natural language, and statistical techniques (24pts)","Supervisors: David Squire, Robyn McNamara","Realising this niche, this project aims to create an extensible framework for the automated solving of cryptic crossword clues (and by extension, an entire cryptic crossword grid). This framework should ideally be plugin-based, to allow for extensibility in e.g. handling new clue types. The proposed solution could use existing sources of semantic relations between words (e.g. the Natural Language ToolKit (NLTK), or WordNet), as well as letter or ngram-based statistics.",,"It would be an advantage if the student has previously studied statistics, natural language processing, and machine learning/AI. Knowledge (or willingness to learn) how cryptic crosswords work is a must.",This project would look to build on that work by fitting it into a properly engineered extensible framework that would allow other clue types to be plugged-in as and when solvers are created. The candidate would also research and develop at least one more solver type for use in this framework – perhaps one for the “embedded” clue type.
,,,https://en.wikipedia.org/wiki/Chess_theory,,
,,,https://en.wikipedia.org/wiki/Chess#Notation_for_recording_moves,,
,,,https://en.wikipedia.org/wiki/Portable_Game_Notation,,
,,,https://chessmicrobase.com/,,
Chess Video Analysis for Move Recognition  (18 or 24 pts),"Supervisors: David Squire, David Cordover (external partner)","The ultimate aim of this project is to create a SmartPhone App (Apple first priority, Android second priority) that can use video to ""watch"" a game of chess and record the moves in standard PGN (Portable Game Notation) format. This could then be fed directly into an online database storage, editing, sharing and display facility (the partner for this project, Chess World, has created one called Chess Microbase), or can be exported or emailed.",,"It would be an advantage if the student has previously studied units in image/video processing, and machine learning/AI.","This task will require the application of computer vision and artificial intelligence techniques to recognise the state of the board, detect and recognise moves (and check for their consistency and legality)."
,,,http://mimesolutions.com/PDFs/WEB%20Trish%20Melton%20Lean%20Manufacturing%20July%202005.pdf,,
Applying Lean to Distribution (24 pts),Supervisors:,"This research project involves applying lean ‘thinking' to a distribution centre that plans and delivers goods to customers located mainly in Victoria. Currently the company relies on a combination of both manual and software enabled processes for planning and delivery of their products, which are prone to errors and waste.",,Students who have achieved at least an overall of D or higher in their prior degree and interest in applying business process improvements are encouraged to apply. There is a scholarship attached to this project provided by Timstock Ltd.,"""The benefits of Lean Manufaturing: what lean thinking has to offer process industries"", Melton T, Chemical Engineering Research and Design, 83(A6), 662-673, June 2005."
,,,http://www.nehta.gov.au/implementation-resources/ehealth-foundations/EP-1144-2007,,
ANZ Project: Develop a community model for ANZ corporate centre (24 pts),Supervisors:,"Model the communities of practice in Finance and HR and Risk (bus and IT) to establish currently active permissions, prohibition and obligations. The expected outcome is a Model the communities of practice in Finance and HR and Risk (bus and IT) to establish currently active permissions, prohibition and obligations.",,"Students who have achieved at least D in ebusiness or equivalent units; and Persistence and active listening, some familiarity with normative corporate role sand responsibilities.","Model the communities of practice in Finance and HR and Risk (bus and IT) to establish currently active permissions, prohibition and obligations. The expected outcome is a Model the communities of practice in Finance and HR and Risk (bus and IT) to establish currently active permissions, prohibition and obligations."
ANZ Project: Customer Experience of the future - Unassisted Channel (for two students) (24 pts),Supervisors:,"Define the digital Customer Experience of the future, and build a working prototype on SAP Sybase software.",,"Digital exposure and customer experience techniques, possibly customer centred design. Development skills, especially hybrid.","We want to consider innovative ways of (i) creating controls within a digital development environment, (ii) defining the regional asset as a level of business standardisation, (iii) defining the controls for the regional asset, (iv) defining how we would manage the localisation to ensure integrity in the regional asset. Benefits include:"
The managerial use of mobile business intelligence (18 pts),Supervisors:,"This project aims to investigate how managers use mobile BI for their decision-making tasks. It will be exploratory in nature and can be investigated through different theoretical lenses (including but not limited to task-technology fit, unified theory of acceptance and use of technology).",,To tackle this project students need an undergraduate degree in IT (preferrably in business information systems) or be a student in the Master of Business Information Systems.,"The project can be undertaken by multiple students with each student using a different method, for example, one student could use a survey method, another a lab-based approach, and another a case study."
Can managers effectively use business analytics? (18 pts),Supervisors:,The aim of the project is to investigate whether or not business managers have the requisite background knowledge to effectively use BA systems.,,To tackle this project students need an undergraduate degree in IT (preferrably in business information systems) or be a student in the Master of Business Information Systems.,"The project can use either a survey or a laboratory experiment. It may be possible for two students to tackle the project at the same time, each using a different research method."
Porting snob to Weka (18 or 24 pts),Supervisors:,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,Knowledge of JAVA or a similar programming language may be useful.,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.
,,,http://multi-touch-screen.com/,,
,,,"[5] Dyer, A.G., Dorin, A., Reinhardt, V., Rosa, M., ""Colour reverse learning and animal personalities: the advantage of behavioural diversity assessed with agent-based simulation"", Nature Precedings pre-print, http://hdl.handle.net/10101/npre.2012.7037.1 (March 2012)",,
,,,http://www.cs.umd.edu/hcil/treemap-history/,,
,,,http://www.csse.monash.edu.au/~webb/cgi-bin/publications.cgi? keywords=Conditional%20Probability%20Estimation,,
,,,https://www.cse.ust.hk/~jamesk/papers/jmlr05.pdf,,
,,,http://www.springerlink.com/content/mt27q3g813631k79/,,
,,,http://www.springerlink.com/content/lgmknt1jx7crkaeu/,,
(24 pts),Supervisor:,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,Either advanced Java programming skills or a strong mathematical background is required.,This project will explore approaches to developing feasible classifiers with low asymptotic error that have linear or sub-linear computational complexity. As a starting point we will look at modifications to the Averaged N-Dependence Estimators algorithm that reduce its complexity with respect to its parameter N.
Non-parametric Bayes versus Model Selection for Topic Modelling,Supervisors: Dr Mark Carman and A./Prof. David Dowe,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,"The work will become heavily mathematical, and no less so when we use Minimum Message Length (MML).",This project proposes to compare empirically the performance of the two approaches (model selection and non-parametric Bayes) to admixture modelling. From a theoretical perspective we will attempt to better understand under what conditions the two methods for choosing the number of parameters of the model are indeed equivalent and what are the relative computational requirements (expected convergence rate) of the two approaches.
ANZ Project: MML time series and Bayesian nets with discrete and continuous attributes,Supervisors: A./Prof. David Dowe,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,The ability to program is essential. The work will use Minimum Message Length (MML) and will become quite mathematical.,". The student will be required to: Understanding relevant underlying mathematics, Developing necessary mathematics, Developing software for relevant mathematics, Testing and applying software on real-world data."
"MML inference of SVMs, DEs, time series, etc.",Supervisors: A./Prof. David Dowe,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,The ability to program is essential. The work will use Minimum Message Length (MML) and will become quite mathematical no matter what direction the project takes.,"The student will be required to: Understand relevant underlying mathematics, Develop necessary mathematics, Develop software for relevant mathematics, Test and applying software on real-world data."
,,,http://en.wikipedia.org/wiki/Nearest_neighbor_graph,,
(Google) Maps Databases,Supervisors: Assoc. Prof. David Taniar,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,"Have a strong interest in math, including geometry; and Have a passion in solving puzzles (e.g. what does the picture shown in http://en.wikipedia.org/wiki/Nearest_neighbor_graph mean?)","This project aims to develop efficient algorithms to process spatial database queries, by incorporating some of the properties of computational geometry."
,,,"Have a strong interest in math, including geometry; and Have a passion in solving puzzles (e.g. what does the picture shown in http://en.wikipedia.org/wiki/Nearest_neighbor_graph mean?)",,
,,,[1] The NTLM Authentication Protocol and Security Support Provider -- http://davenport.sourceforge.net/ntlm.html (This page describes the NTLM protocol).,,
,,,http://www.isaac.cs.berkeley.edu/isaac/wep-draft.pdf,,
,,,http://jcifs.samba.org/,,
,,,http://www.ampliasecurity.com/research/NTLMWeakNonce-bh2010-usa-ampliasecurity.pdf,,
Security Analysis of NTLM Authentication Protocol,Supervisors: Ron Steinfeld,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,Familiarity with the basics of cryptography would be an advantage. The student should have good mathematical and programming skills.,"The aim of this project is to investigate and improve current understanding of the NTLM protocol's security and its vulnerabilities. In particular, the project will explore the feasibility of adapting known attacks on other similar protocols, such as WEP, to break one or more security goals of NTLM under suitable conditions. Part of the project will involve implementing and testing known and new attacks using the open-source implementation of NTLM. Other topics in cryptography-related areas are available for interested students."
,,,http://www.csse.monash.edu.au/~webb/Files/Webb11.pdf,,
,,,http://www.csse.monash.edu.au/~webb/redirects/Webb10.html,,
,,,http://arxiv.org/pdf/cs.DB/0206004,,
Finding useful associations in data,Supervisors: Geoff Webb,The aim of this project is to make a version of Snob available to a general computing audience by porting it to WEKA. This might be done by providing a wrapper to an existing Snob implemenation or it might be done by translating or re-implementing snob in Java. The project has scope to move into areas like how to change or improve aspects of the Snob implementation or how to compare different unsupervised classification algorithms in a standard testbed environment.,,"Students will require strong programming skills, preferably in C++ or Java",This project will investigate whether this is true and develop and explore intermediate constraints between non-redundant and non-derivable associations to assess their relative value for discarding associations that will not be useful to normal users.
,,,http://ieeexplore.ieee.org/document/4527256/,,
,,,http://ieeexplore.ieee.org/document/4027145/,,
,,,http://link.springer.com/article/10.1007/s10515-010-0069-5,,
,,,http://dl.acm.org/citation.cfm?id=2486838,,
,,,http://ieeexplore.ieee.org/document/4814129/,,
Predicting defects in software components,"Supervisors: Yuan-Fang Li, Reza Haffari","The aim of this project is to develop novel software defect prediction (SDP) frameworks that make use of advanced machine learning techniques. Specifically, we will be exploring the following problems: (1) novel process-oriented metrics, (2) new learning algorithms that is able to give evidence for prediction outcomes, and (3) new ranking algorithms that is able to rank components by predicted defect density/severity, etc.",,Strong programming skills,"[5] Moser, Raimund, Witold Pedrycz, and Giancarlo Succi. ""A comparative analysis of the efficiency of change metrics and static code attributes for defect prediction."" Software Engineering, 2008. ICSE'08. ACM/IEEE 30th International Conference on. IEEE, 2008. ("
,,,http://iridia.ulb.ac.be/IridiaTrSeries/rev/IridiaTr2012-014r002.pdf,,
,,,http://www.isrr-2011.org/ISRR-2011/Program_files/Papers/kumar-ISRR-2011.pdf,,
One of: FIT3080/FIT4004/FIT4009/FIT5171/FIT5047/FIT5142,Environmental Sensing with Swarms of Flying Robots Supervisors: Jan Carlo Barca and Karan Pedramrazi,"This project aims to devise mechanisms that enable swarms of quad copters to harvest environmental data and synthesise the captured information into three-dimensional maps. The student will work within Monash Swarm Robotics Laboratory and attend weekly meetings with researchers in the lab. This is a great opportunity for the selected student to learn about swarm robotics and work within a multi disciplinary team consisting of software, mechanical and electrical engineers.",,Advanced C++ programming experience and a strong desire to work with sensor systems and flying robots is essential.,"Kumar, V. and Michael, N. (2012) ""Opportunities and challenges with autonomous micro aerial vehicles, International Journal of Robotics Research"", vol. 31, issue 11, pp. 1279-1291. Available:"
Statistical Topic Models for Text Segmentation,Supervisors: Reza Haffari and Ingrid Zukerman,"Statistical topic models are the current state-of- the-art for text segmentation. In this project we augment topic models with additional sources of information, e.g., those coming from a domain expert, to enhance text segmentation.",,"FIT3080 Intelligent systems or equivalent is a mandatory prerequisite, and solid knowledge of probability is desirable.","Statistical topic models are the current state-of- the-art for text segmentation. In this project we augment topic models with additional sources of information, e.g., those coming from a domain expert, to enhance text segmentation."
,,,http://en.wikipedia.org/wiki/Process_design,,
,,,http://www.simopt.org,,
Two Approaches to Optimising Chemical Engineering Design,"Supervisors: Maria Garcia de la Banda, Mark Wallace","Whatever approach is adopted for multi-objective optimisation in a Chemical plant, it is inevitable that a large number of parameter setting combinations must be evaluated. Consequently it is essential that the computationally-expensive simulation step must be taken out of the evaluation loop. There are two possible ways of achieving this:",,This project is most suited for students with good mathematical and modelling skills,"Investigate a gas turbine combined cycle power station to understand the number of processing units, the parameters applicable to each unit, the model associated with each unit, and the model associated with the plant (simplified as necessary to meet the project timescale).  Investigate  approach  2,  above,  and  compare  the  results  achievable  with  this  approach  with those achieved by previous researchers using the NSGA-II algorithm on the same problem."
,,,http://users.monash.edu.au/~aldeidaa/,,
Measuring the performance of multi-objective optimisation algorithms,Supervisors: Aldeida Aleti,"In this project, we will investigate different methods and develop new metrics for assessing the performance of multi-objective optimisation algorithms.",,Prior knowledge in optimisation would be helpful.,"In this project, we will investigate different methods and develop new metrics for assessing the performance of multi-objective optimisation algorithms."
,,,http://www.tandfonline.com/loi/hcrj20,,
Clustering and Association Analysis for Identifying Technology & Process Innovation Potentials,Supervisors: Associate Professor Vincent Lee and Dr Yen Cheung,1. This project aims to use data mining tool to cluster and develop patent clusters;,,Some knowledge on the use of WEKA data mining tool for clustering and discovery of knowledge (text document) from similarity measures.,"[2] Chiu, T.F.: A Proposed IPC-based Clustering Method for Exploiting Expert Knowledge and its Application to Strategic Planning, Journal of Information Science, pp. 1-17 (online 18 October 2013)."
Agile Smart Grid Architecture,Supervisors: Associate Professor Vincent Lee and Dr Ariel Liebman,The project aims to:,,Some knowledge on graph theory based algorithmic development for sensor network.,"Many multisite industrial firms have to respond to the call for reduction in CO2 emission in their business and production process operations. The incorporation of heterogeneous local renewable energy (wind, solar etc) sources and energy storage capacity in their electricity distribution grid bring greater degree of uncertainty that demand timely reconfiguring the grid architecture to optimise overall energy consumption."
A Predictive Cyber Security Cost Model for Financial Services Sector,Supervisors: Associate Professor Vincent Lee,Two main aims of this proposal are:,,"Basic knowledge on economic modelling and use of simulation software package (MATLAB, ExtenSim)","[4] Kim-Kwang Raymond Choo. “Cyber threat landscape faced by financial and insurance industry”, Australia’s national research and knowledge centre on crime and justice, Trends & Issues in crime and criminal justice, No. 408 February, 2011."
Online Handwritten Signature Verification,Supervisors: Gopal Gupta,"There is considerable interest in authentication based on handwritten signature verification (HSV) because HSV is superior to many other biometric authentication techniques , for example, fingerprints or retinal pattern which are more reliable but much more intrusive.",,The student must have some mathematical background and experience in programming,A number of HSV techniques have been explored over the last 30-40 years. I myself have looked into using dynamic parameters when a signature is signed online. Another approach was based on simulating the hand movements of the person signing online. Both these techniques work well and the results have been published. This project involves finding even more reliable techniques perhaps by exploring yet another approach to online HSV based on identifying curves and straight lines as the signature is signed. You will need to study curves and lines identification techniques in pattern recognition and then use those techniques and perhaps develop new techniques for use in online HSV. The project requires some mathematical knowledge and programming experience.
,,,http://www.ee.columbia.edu/~dpwe/talks/HSCMA-2011-06.pdf,,
,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.26.964&rep=rep1&type=pdf,,
The impact of using Business Intelligence in healthcare (18 pts),Supervisors: Caddie Gao and Frada Burstein,The project will examining BI tools developments in a large Australian hospital and their impact on the business using a Case study approach.,,To tackle this project students need an undergraduate degree in IT (preferably in business information systems) or be a student in the Master of Business Information Systems. Some work experience will be looked at as a bonus.,"Business Intelligence (BI) tools are widely used in many data-intensive organisations to support better decision-making and service delivery. BI tools have been recently adopted as one of the components of the information infrastructure within healthcare context as well. However, the impact of using BI on the healthcare outcomes still needs investigation."
